i	j	x	r	mach	theta	press	temp	Massflow
91	242	1.47352	0.491528	2.036	9.76134	52.9376	1488.87	1.57024
92	242	1.48428	0.487687	2.04195	9.6882	52.4249	1485.56	1.536
93	242	1.49153	0.485103	2.04596	9.63896	52.0823	1483.34	1.51325
94	242	1.49873	0.482534	2.04995	9.5898	51.7431	1481.12	1.49087
95	242	1.50589	0.479984	2.05391	9.54093	51.4083	1478.93	1.46889
96	242	1.51302	0.477449	2.05786	9.49213	51.0766	1476.74	1.44726
97	242	1.5201	0.474931	2.06178	9.44357	50.7489	1474.57	1.426
98	242	1.52715	0.472426	2.0657	9.39507	50.4242	1472.41	1.40507
99	242	1.53453	0.469803	2.0698	9.34415	50.086	1470.15	1.38339
100	242	1.54159	0.4673	2.07372	9.29536	49.7645	1467.99	1.36292
101	242	1.54859	0.464816	2.07761	9.24692	49.4473	1465.85	1.34281
102	242	1.55557	0.462342	2.0815	9.19847	49.1327	1463.71	1.323
103	242	1.56251	0.459884	2.08536	9.15028	48.8217	1461.59	1.30352
104	242	1.56942	0.457436	2.08921	9.10212	48.5134	1459.47	1.28432
105	242	1.5763	0.455002	2.09305	9.05415	48.2084	1457.37	1.26543
106	242	1.58754	0.451024	2.09932	8.97538	47.7127	1453.94	1.23498
107	242	1.59442	0.448594	2.10317	8.92707	47.4117	1451.84	1.21663
108	242	1.60126	0.446177	2.10699	8.87905	47.1142	1449.75	1.19858
109	242	1.60807	0.44377	2.1108	8.83102	46.8191	1447.67	1.18079
110	242	1.61486	0.441375	2.1146	8.7832	46.5271	1445.6	1.16328
111	242	1.62162	0.438988	2.11838	8.7354	46.2374	1443.54	1.14601
112	242	1.62836	0.436613	2.12215	8.68775	45.9505	1441.49	1.129
113	242	1.63507	0.434246	2.12592	8.64013	45.666	1439.45	1.11223
114	242	1.64348	0.43128	2.13064	8.58034	45.3115	1436.89	1.09147
115	242	1.65021	0.428909	2.13442	8.53235	45.0295	1434.84	1.07508
116	242	1.65691	0.42655	2.13817	8.48467	44.7508	1432.8	1.05894
117	242	1.66359	0.424198	2.14193	8.43694	44.4739	1430.77	1.04301
118	242	1.67025	0.421856	2.14567	8.38942	44.1999	1428.75	1.02733
119	242	1.67688	0.41952	2.1494	8.34189	43.9279	1426.74	1.01186
120	242	1.68349	0.417194	2.15312	8.29452	43.6585	1424.74	0.996616
121	242	1.69009	0.414874	2.15683	8.24715	43.3911	1422.74	0.981575
122	242	1.70257	0.410486	2.16386	8.15735	42.889	1418.96	0.953567
123	242	1.70918	0.408163	2.16758	8.10962	42.625	1416.96	0.938975
124	242	1.71576	0.405852	2.17129	8.06224	42.3642	1414.98	0.924612
125	242	1.72233	0.403544	2.17499	8.01473	42.1047	1412.99	0.910428
126	242	1.72887	0.401246	2.17868	7.96748	41.848	1411.02	0.896456
127	242	1.7354	0.398952	2.18237	7.92016	41.593	1409.05	0.882663
128	242	1.74191	0.396666	2.18604	7.87302	41.3403	1407.09	0.869069
129	242	1.74841	0.394384	2.18971	7.82586	41.0893	1405.13	0.85565
130	242	1.75488	0.392109	2.19337	7.77883	40.8405	1403.18	0.842419
131	242	1.76505	0.388541	2.19911	7.70483	40.4527	1400.13	0.821959
132	242	1.77155	0.386258	2.20279	7.65738	40.2062	1398.18	0.809053
133	242	1.77804	0.383983	2.20646	7.61017	39.9622	1396.23	0.796335
134	242	1.78451	0.381711	2.21012	7.56291	39.7197	1394.29	0.78378
135	242	1.79096	0.379446	2.21377	7.51583	39.4794	1392.36	0.771402
136	242	1.7974	0.377185	2.21741	7.46873	39.2408	1390.43	0.759184
137	242	1.80383	0.37493	2.22105	7.42176	39.0041	1388.51	0.747134
138	242	1.81025	0.372678	2.22468	7.37479	38.7691	1386.6	0.735241
139	242	1.81665	0.370432	2.22831	7.32791	38.5359	1384.69	0.723508
140	242	1.82304	0.368189	2.23193	7.28104	38.3044	1382.78	0.711927
141	242	1.83118	0.365331	2.23654	7.22126	38.0112	1380.36	0.697363
142	242	1.83761	0.363076	2.24019	7.17398	37.7812	1378.44	0.686021
143	242	1.84401	0.360829	2.24381	7.12698	37.5536	1376.54	0.674845
144	242	1.85041	0.358583	2.24744	7.07989	37.3272	1374.64	0.663808
145	242	1.85679	0.356343	2.25106	7.033	37.1029	1372.75	0.652926
146	242	1.86317	0.354105	2.25467	6.98606	36.88	1370.86	0.642182
147	242	1.86953	0.351872	2.25828	6.93926	36.6589	1368.98	0.631586
148	242	1.87588	0.349641	2.26188	6.89245	36.4392	1367.1	0.621124
149	242	1.88223	0.347415	2.26548	6.84573	36.2213	1365.23	0.610804
150	242	1.88856	0.34519	2.26907	6.79901	36.0048	1363.36	0.600616
151	242	1.89488	0.34297	2.27266	6.75235	35.7899	1361.5	0.590562
152	242	1.9013	0.340717	2.2763	6.70497	35.573	1359.61	0.580487
153	242	1.90766	0.338481	2.27991	6.65789	35.359	1357.74	0.570609
154	242	1.91401	0.336251	2.28351	6.61104	35.1471	1355.87	0.560872
155	242	1.92035	0.334023	2.28711	6.56414	34.9364	1354.01	0.551259
156	242	1.92668	0.331798	2.2907	6.51739	34.7274	1352.16	0.541778
157	242	1.933	0.329575	2.29429	6.47062	34.5198	1350.31	0.532419
158	242	1.93932	0.327355	2.29787	6.42397	34.3137	1348.46	0.523187
159	242	1.94563	0.325136	2.30145	6.37731	34.109	1346.62	0.514075
160	242	1.95193	0.322921	2.30502	6.33072	33.9058	1344.78	0.505084
161	242	1.95822	0.320707	2.3086	6.28415	33.7039	1342.95	0.49621
162	242	1.9645	0.318495	2.31216	6.23763	33.5034	1341.12	0.487454
163	242	1.97575	0.314538	2.31855	6.15433	33.1476	1337.85	0.472057
164	242	1.98207	0.312312	2.32214	6.10742	32.949	1336.02	0.463547
165	242	1.98838	0.31009	2.32571	6.06076	32.7523	1334.19	0.455161
166	242	1.99468	0.307869	2.32929	6.014	32.5566	1332.36	0.44688
167	242	2.00098	0.30565	2.33286	5.96742	32.3626	1330.55	0.438716
168	242	2.00727	0.303432	2.33643	5.92079	32.1696	1328.73	0.430657
169	242	2.01355	0.301216	2.34	5.87429	31.9782	1326.92	0.42271
170	242	2.01983	0.299001	2.34356	5.82776	31.7879	1325.11	0.414866
171	242	2.02611	0.296788	2.34712	5.78132	31.5991	1323.31	0.40713
172	242	2.03238	0.294575	2.35067	5.73488	31.4113	1321.51	0.399496
173	242	2.03864	0.292364	2.35423	5.6885	31.2249	1319.71	0.391965
174	242	2.0449	0.290153	2.35778	5.64211	31.0396	1317.92	0.384535
175	242	2.05494	0.286605	2.36347	5.56769	30.7446	1315.05	0.372813
176	242	2.06124	0.284378	2.36705	5.52094	30.5609	1313.25	0.365584
177	242	2.06753	0.282155	2.37061	5.47443	30.3789	1311.46	0.358462
