i	j	x	r	mach	theta	press	temp
85	89	1.02366	0.612649	1.85165	12.4017	71.2954	2205.82
86	89	1.03869	0.607107	1.85896	12.3417	70.4694	2199.95
87	89	1.05314	0.601803	1.86566	12.2949	69.7209	2194.59
88	89	1.06773	0.596468	1.87261	12.2422	68.9515	2189.04
89	89	1.08259	0.591062	1.87994	12.1805	68.148	2183.18
90	89	1.09754	0.585646	1.88746	12.114	67.3325	2177.19
91	89	1.11248	0.580254	1.89507	12.045	66.5168	2171.13
92	89	1.12727	0.574941	1.90259	11.977	65.7191	2165.15
93	89	1.14136	0.569897	1.90944	11.9226	65.0002	2159.72
94	89	1.14356	0.569108	1.91137	11.8866	64.7981	2158.19
95	89	1.148	0.567523	1.91441	11.8415	64.4826	2155.78
96	89	1.15554	0.564833	1.91845	11.8003	64.0651	2152.58
97	89	1.16666	0.560875	1.92406	11.7503	63.4885	2148.14
98	89	1.18158	0.555586	1.9315	11.6862	62.7313	2142.26
99	89	1.2002	0.549009	1.9407	11.6097	61.8071	2135.01
100	89	1.22264	0.541127	1.95181	11.5175	60.7077	2126.27
101	89	1.24922	0.531848	1.96524	11.4002	59.4013	2115.73
102	89	1.281	0.520825	1.98228	11.2305	57.7816	2102.41
103	89	1.29876	0.514696	1.99254	11.1127	56.8262	2094.42
104	89	1.32077	0.507125	2.00636	10.9316	55.5622	2083.68
105	89	1.34852	0.497595	2.02575	10.64	53.8323	2068.68
106	89	1.37473	0.488617	2.04104	10.4565	52.5029	2056.9
107	89	1.39751	0.480829	2.05606	10.243	51.2277	2045.38
108	89	1.42712	0.47073	2.07344	10.03	49.7876	2032.1
109	89	1.44777	0.463703	2.08678	9.84337	48.7079	2021.94
110	89	1.48076	0.452493	2.10622	9.60128	47.1737	2007.21
111	89	1.49976	0.446048	2.11825	9.4361	46.2477	1998.14
112	89	1.5165	0.440374	2.12803	9.31497	45.5072	1990.79
113	89	1.53742	0.433287	2.14123	9.13359	44.5255	1980.89
114	89	1.5541	0.427643	2.15114	9.00692	43.8015	1973.49
115	89	1.57172	0.421681	2.16218	8.85555	43.008	1965.26
116	89	1.59525	0.413722	2.17631	8.67144	42.0127	1954.78
117	89	1.61219	0.407993	2.18681	8.52894	41.2878	1947.02
118	89	1.62835	0.402528	2.19651	8.40182	40.628	1939.87
119	89	1.65662	0.392968	2.21395	8.16489	39.4675	1927.07
120	89	1.67259	0.387568	2.22361	8.03635	38.8386	1920.01
121	89	1.6888	0.382084	2.2336	7.89996	38.198	1912.73
122	89	1.70456	0.376747	2.24314	7.77222	37.5956	1905.79
123	89	1.72072	0.371277	2.25307	7.63672	36.9788	1898.61
124	89	1.73637	0.365972	2.26257	7.50858	36.3976	1891.75
125	89	1.7521	0.36064	2.2722	7.37693	35.8171	1884.81
126	89	1.76761	0.355378	2.28162	7.24925	35.2584	1878.06
127	89	1.78814	0.348407	2.29416	7.0776	34.5275	1869.09
128	89	1.80354	0.343174	2.30351	6.95008	33.992	1862.43
129	89	1.81893	0.337937	2.31289	6.82132	33.4628	1855.76
130	89	1.83421	0.332736	2.32215	6.69454	32.948	1849.2
131	89	1.85923	0.324206	2.33736	6.48532	32.1198	1838.48
132	89	1.8744	0.319024	2.34655	6.35895	31.629	1832.02
133	89	1.88956	0.313841	2.35574	6.23209	31.1455	1825.58
134	89	1.90464	0.308678	2.36486	6.10644	30.6732	1819.22
135	89	1.9343	0.298503	2.38279	5.85827	29.7643	1806.76
136	89	1.94931	0.293345	2.39183	5.73311	29.3161	1800.51
137	89	1.96431	0.288181	2.40088	5.6075	28.8744	1794.28
138	89	1.97926	0.283029	2.40986	5.48289	28.4423	1788.11
139	89	1.9942	0.277871	2.41883	5.35788	28.0166	1781.96
140	89	2.01377	0.2711	2.43056	5.19463	27.47	1773.96
141	89	2.02869	0.26593	2.43949	5.06998	27.0609	1767.89
142	89	2.04358	0.260761	2.44838	4.94585	26.6595	1761.86
143	89	2.05846	0.255587	2.45725	4.82167	26.2648	1755.87
144	89	2.07332	0.25041	2.46609	4.69785	25.8772	1749.91
145	89	2.09811	0.24175	2.48081	4.49117	25.2444	1740.04
146	89	2.11297	0.236546	2.4896	4.36748	24.8737	1734.17
147	89	2.12784	0.231331	2.49838	4.24367	24.5088	1728.33
148	89	2.14269	0.226111	2.50713	4.12022	24.1507	1722.53
149	89	2.15754	0.220879	2.51586	3.99666	23.7983	1716.75
150	89	2.17238	0.215638	2.52456	3.87334	23.4522	1711.02
151	89	2.18783	0.210173	2.5336	3.74495	23.0982	1705.08
152	89	2.20271	0.204897	2.54227	3.6214	22.7632	1699.4
153	89	2.2176	0.199608	2.55093	3.49785	22.4339	1693.75
154	89	2.23249	0.194306	2.55955	3.37435	22.1103	1688.14
155	89	2.24738	0.188989	2.56816	3.25082	21.7922	1682.56
156	89	2.26228	0.183658	2.57674	3.12726	21.4795	1677.01
157	89	2.28356	0.176023	2.58894	2.95085	21.0427	1669.16
158	89	2.29851	0.170641	2.59747	2.82691	20.7425	1663.69
159	89	2.31348	0.16524	2.60598	2.70278	20.4474	1658.25
160	89	2.32846	0.159823	2.61445	2.57863	20.1576	1652.85
161	89	2.34345	0.154385	2.6229	2.45427	19.873	1647.49
162	89	2.35846	0.148928	2.63131	2.32975	19.5936	1642.17
163	89	2.38598	0.138884	2.6466	2.10118	19.0953	1632.53
164	89	2.40106	0.133357	2.65491	1.97588	18.8301	1627.33
165	89	2.41617	0.127805	2.66318	1.84992	18.5696	1622.16
166	89	2.43129	0.122232	2.67138	1.72405	18.3149	1617.05
167	89	2.44644	0.116633	2.67954	1.5975	18.0651	1611.98
168	89	2.4616	0.111011	2.68762	1.47083	17.8211	1606.98
169	89	2.47679	0.105362	2.69563	1.34349	17.5824	1602.04
170	89	2.49586	0.0982425	2.70554	1.18342	17.2917	1595.95
171	89	2.51113	0.0925218	2.71334	1.05487	17.0662	1591.17
172	89	2.52642	0.0867736	2.72101	0.926006	16.8474	1586.48
173	89	2.54173	0.0809965	2.72852	0.796751	16.6356	1581.91
174	89	2.55706	0.0751903	2.73585	0.667367	16.4319	1577.46
175	89	2.57242	0.0693539	2.74294	0.538081	16.2371	1573.17
176	89	2.5878	0.0634869	2.74973	0.409469	16.0527	1569.07
177	89	2.61397	0.0534511	2.76026	0.196191	15.771	1562.73
178	89	2.62943	0.0474918	2.7656	0.0784018	15.6302	1559.54
179	89	2.64484	0.0415311	2.76893	0	15.543	1557.54
